config,range,cost,velocity,result
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------------*gNL3--------------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",11.4896,1720.188,13.08848,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",60.2591,1738.358,10.87936,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",60.02756,1736.543,10.86984,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg^cf^gb,6,3",6.003927,1906.215,12.20151,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------------*gNL3---------------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",10.42965,1717.81,13.41125,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,2,3",10.32106,1740.173,11.44378,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^gb,6,3",5.763801,1901.919,12.40184,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^eg^cf^gb,6,3",4.342345,1766.704,10.12348,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^eg^cf^gb,7,3",5.720166,1910.747,11.38027,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^gg,7,3",4.889414,1897.852,11.88995,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^gb,8,30",6.600412,2058.187,12.75307,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^eg^cf^gc,8,3",8.077242,2104.953,11.45278,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",79.44875,1742.095,10.63375,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------*gNL3--------^ab^ac^ad^ae^df^eg^cf^gc,6,3",9.828964,1949.564,10.77158,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^eg^cf^gg,9,3",7.524889,2104.953,10.58945,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",34.51503,1744.018,10.82541,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^df^gc,5,3",8.162324,1789.38,10.54442,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^eg^fb^dg,8,3",7.604277,2088.348,11.91247,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------*gNL3-----------^ab^ac^ad^ae^df^eg^fb^gc,6,3",8.16443,1931.344,11.2907,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------------*gNL3------------------------^ab^ac^ad^ae^df^eg^ef^bg,1,3",14.84326,1724.063,12.42924,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^df^eg^ef^cg,7,3",11.94635,2145.684,10.38641,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",74.45912,1756.913,10.21972,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",74.44973,1761.685,10.04058,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^eg^fc^gc,8,3",9.270758,2153.521,10.5875,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,40,3",13.69629,5451.191,29.28136,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,40,3",12.72039,5297.357,29.45369,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3--*gNL3--^ab^ac^ad^ae^df^eg^fc^bg,6,3",16.0606,2161.673,9.92037,Success
"*aMM0---*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,40,3",11.84029,5156.891,29.32389,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,41,3",13.3927,5451.191,28.96048,Success
"*aMM0---*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,41,3",11.5937,5156.891,28.8869,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,41,3",12.44345,5297.357,29.02442,Success
"*aMM0----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,44,3",9.792801,5029.186,27.9099,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,42,3",12.20759,5297.357,28.62134,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,44,3",13.66824,5619.001,27.60954,Success
"*aMM0---*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3",10.37881,5156.891,27.85334,Success
"*aMM0----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3",9.355669,5029.186,27.82598,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^df^eg^ef^cg,5,3",37.99598,1816.514,9.811589,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------------*gNL3------------------------^ab^ac^ad^ae^df^eg^fc^gb,0,",30.86829,1724.063,11.95787,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,50,3",10.54678,5451.191,27.26852,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,47,3",11.71114,5451.191,27.39032,Success
"*aMM0-----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,50,3",7.459764,4913.633,25.98725,Success
"*aMM0----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,51,3",7.96117,5029.186,26.09641,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,51,3",11.24577,5619.001,26.5555,Success
"*aMM0----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,54,3",7.390906,5029.186,25.01403,Success
"*aMM0-----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,54,3",6.69154,4913.633,24.62333,Success
"*aMM0---*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,56,3",6.959426,5156.891,25.58262,Success
"*aMM0---*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,58,3",6.504942,5156.891,24.90679,Success
"*aMM0----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,60,3",5.523374,5029.186,23.58649,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,60,3",6.884024,5297.357,24.37254,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,66,3",5.610284,5297.357,21.47957,Success
