config,range,cost,velocity,result
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1+++++*gMO2+++++*hKM1+++++*iMK2+++++*kLL3+++*jNN3+++*lLN3+++*mNL3+++^ab^ac^ad^ae^bf^cg^dh^ei^em^cl^bj^dk,15,3",0.2146673,4012.726,5.97555,Success
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1++++*gMO2++++*hKM1*iMK2*jNN3*kLL3^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,5,3",0.0,3023.886,8.087695,CouldNotStabilize
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3----------------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",0.0,2054.869,0.1551458,CouldNotStabilize
"*aMM0-*bNM1++*cMN2++*dLM1++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,53,3",9.90227,5610.441,24.9986,Success
"*aMM0*bNM2*cMN1*dLM2*eML2^ab^ac^ad^ae,5,1",0.0,1912.0,7.784708,CouldNotStabilize
"*aMM0+++++*bNM3+++*cMN3+++*dLM3+++*eML3++*fOM2*gMO1*hKM2*iMK3++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",0.0,3365.738,0.292255,CouldNotStabilize
"*aMM0+*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN0+++*gNL0+++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,73,3",15.17805,7665.362,26.0645,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3------------^ab^ac^ad^ae^df^eg^cf^ge,1,3",0.0,1923.175,0.1362322,CouldNotStabilize
"*aMM2++++++++++++++++*bML2++++++++++++++++*cNL1++++*dNK1----------------*eNJ3++++++++++++++++*fOK2----------------*gOL0--------*hMK1----------------*iOM4++++++++++++++++*jLK3++++*kPL2++++++++++++++++*lON2----*mMN1----------------*nPN0----------------*oLN4----------------*pLJ2+*qOO4----------------*rOJ2++++++++++++++++*sPM4--------^ab^bc^cd^de^df^cg^dh^gi^hj^gk^il^am^ln^mo^jp^lq^er^ks,70,3",0.0,15829.25,0.002484058,CouldNotStabilize
"*aMM0+++++*bNM3+++*cMN3+*dLM3*eML3*fOM1*gMO2*hKM0*iMK0^ab^ac^ad^ae^bf^cg^dh^ei,5,3",0.0,5965.145,7.854972,CouldNotStabilize
