config,range,cost,velocity,result
"*aMM0++*bNM2+*cMN1*dLM2*eML1*fNN3*gLL3*hLN4*iNL4^ab^ac^ad^ae^cf^eg^ch^ei^bf^dg^dh^ib,40,3",-0.6230152,2478.865,3.179178,CouldNotStabilize
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1++++*gMO2++++*hKM1++++*iMK2++++*kLL3+*jNN3++^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,15,3",0.01997603,3429.764,0.9159954,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1+++*gMO2+++*hKM1++*iMK2++*jNN2+*kLL2*lLN1*mNL1^ab^ac^ad^ae^cf^bg^dh^ei^bj^ek^dl^bm,25,3",0.0,0.0,0.0,Timeout
"*aMM0+++++*bNM1+++*cMN1+++*dLM2+++*eML1+++*fOM1*gMO2*hMK2*iKM1*jLN0*kNL0^ab^ac^ad^ae^cf^bg^ch^di^eg^cg^ej,5,3",0.0,0.0,0.0,Timeout
"*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fOM0++*gNL2++++^ab^ac^ad^ae^bf^dg,5,3",0.0,0.0,0.0,Timeout
"*aMM0++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0-*gLN0-^ab^ac^ad^ae^ef^dg,10,3",31.61946,5244.607,31.4382,Success
"*aMM0++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN0++++*gNL0++++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN3+*mLL3+^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^bl^dm^fc^gb,15,3",2.297926,10030.4,27.50548,HitBoundary
"*aMM0+++++*bNM3*cMN3*dLM1*eML1*fPM3+++*gMO3---*hKM1+++*iMK2+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",0.0,0.0,0.0,Timeout
"*aMM0+++++*bNM3++*cMN3++*dLM3+++*eML3+++*fNN1++*gLL1++^ab^ac^ad^ae^bf^cf^eg^dg,47,3",-0.5265111,3326.415,0.1364134,CouldNotStabilize
"*aMM0-*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,30,3",14.99315,5610.441,30.19184,Success
"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++^ab^ac^ad^ae^cf^dg^eh^bi,30,3",-0.04040345,2656.607,6.848766e-07,CouldNotStabilize
"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fLN0-*gNL0-^ab^ac^ad^ae^df,10,3",0.0,0.0,0.0,Timeout
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO2++*gOM1++*hKM1*iMK2+*jNN2++*kLL2++^ab^ac^ad^ae^bf^cg^di^eh^bj^bk^ek,10,3",0.0,0.0,0.0,Timeout
"*aMM4++++*bNM0++*cMN1++*dLM2++*eML1+*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,1,0",-0.4517389,2533.865,7.274905,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dMN1--------*eLM1++*fKM1----------------*gOL0++++++++++++++++*hLN1----------------^ab^bc^ad^de^cf^dg^gh,70,3",0.0,0.0,0.0,Timeout
"*aMM4++++++++++++++++*bNM0++++++++*cNL2++++++++++++++++*dOL2----^ab^bc^cd,70,3",-0.5718645,7130.33,0.07975059,CouldNotStabilize
"*aMM0-*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb,60,3",8.570896,5610.441,25.1596,Success
"*aMM0+++++*bNM2++*cMN2++*dLM2++*eML1++*fOM3*gNN4*hNL4*iMO3*jLN4*kKM3*lLL4*mMK3^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,6,1",-0.0005703953,3568.353,8.66288,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN4*gNL4^ab^ac^ad^ae^df^eg,5,3",10.36807,3359.075,19.69,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1*gOM2*hKM2*iLN0*jMK1*kNL0^ab^ac^ad^ae^cf^bg^dh^di^cf^bg^eh^ij,5,3",0.0,0.0,0.0,Timeout
"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,65,3",9.11696,5821.393,26.0972,Success
"*aMM4+++++++*bNM0++++*cNN2++++*dLM2++++*eML1++++*fLN0*gNL0^ab^ac^ad^ae^df^eg^gb^fc,10,3",0.0,0.0,0.0,Timeout
"*aMM0+++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN0-*gNL0-^ab^ac^ad^ae^df^eg^fc^gb,29,3",7.037833,6777.408,30.17089,HitBoundary
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^bg^ef^cg,6,3",6.722415,1915.519,11.84778,Success
"*aMM0*bNM2++*cMN1+++++*dLM2++++*eML1++++^ab^ac^ad^ae,5,3",-0.0007477556,2661.438,1.617941,CouldNotStabilize
